;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;i13;Scrambled static;0.0;1.0;8.34899997711;23.5260000229;60.0;2017-01-27-08-59-39
1;i13;Scrambled static;1.0;1.0;5.35100007057;4.83299994469;60.0;2017-01-27-08-59-39
2;i13;Scrambled static;1.0;-1.0;10.2170000076;7.01700019836;60.0;2017-01-27-08-59-39
3;i13;Scrambled static;1.0;1.0;17.484000206;1.59999990463;60.0;2017-01-27-08-59-39
4;i13;Scrambled static;1.0;-1.0;19.1590001583;2.10099983215;60.0;2017-01-27-08-59-39
5;i13;Scrambled static;1.0;1.0;21.4350001812;3.77399992943;60.0;2017-01-27-08-59-39
6;i13;Scrambled static;1.0;-1.0;25.2090001106;1.75900006294;60.0;2017-01-27-08-59-39
7;i13;Scrambled static;1.0;-1.0;27.0090000629;0.108999967575;60.0;2017-01-27-08-59-39
8;i13;Scrambled static;1.0;1.0;27.1679999828;1.45800018311;60.0;2017-01-27-08-59-39
9;i13;Scrambled static;1.0;-1.0;28.6260001659;1.70000004768;60.0;2017-01-27-08-59-39
10;i13;Scrambled static;1.0;1.0;30.3260002136;1.5;60.0;2017-01-27-08-59-39
11;i13;Scrambled static;1.0;-1.0;31.8260002136;2.0;60.0;2017-01-27-08-59-39
12;i13;Scrambled static;1.0;1.0;33.8260002136;1.44099998474;60.0;2017-01-27-08-59-39
13;i13;Scrambled static;1.0;-1.0;35.4010000229;1.81599998474;60.0;2017-01-27-08-59-39
14;i13;Scrambled static;1.0;1.0;37.2170000076;1.8259999752;60.0;2017-01-27-08-59-39
15;i13;Scrambled static;1.0;-1.0;39.0429999828;1.51700019836;60.0;2017-01-27-08-59-39
16;i13;Scrambled static;1.0;1.0;40.6600000858;1.73300004005;60.0;2017-01-27-08-59-39
17;i13;Scrambled static;1.0;-1.0;42.5260000229;1.67500019073;60.0;2017-01-27-08-59-39
18;i13;Scrambled static;1.0;1.0;44.2850000858;1.60800004005;60.0;2017-01-27-08-59-39
19;i13;Scrambled static;1.0;-1.0;45.9930000305;1.77500009537;60.0;2017-01-27-08-59-39
20;i13;Scrambled static;1.0;1.0;48.0429999828;1.52500009537;60.0;2017-01-27-08-59-39
21;i13;Scrambled static;1.0;-1.0;49.5680000782;1.69099998474;60.0;2017-01-27-08-59-39
22;i13;Scrambled static;1.0;1.0;51.3510000706;1.93300008774;60.0;2017-01-27-08-59-39
23;i13;Scrambled static;1.0;-1.0;53.3760001659;1.93299984932;60.0;2017-01-27-08-59-39
24;i13;Scrambled static;1.0;1.0;55.3090000153;1.93400001526;60.0;2017-01-27-08-59-39
25;i13;Scrambled static;1.0;-1.0;57.2430000305;1.38400006294;60.0;2017-01-27-08-59-39
26;i13;Scrambled static;1.0;1.0;58.6430001259;1.35899996758;60.0;2017-01-27-08-59-39
27;i13;Upright walker;2.0;1.0;1.51699995995;1.84200000763;60.0;2017-01-27-08-59-39
28;i13;Upright walker;2.0;-1.0;3.39999985695;56.6010000706;60.0;2017-01-27-08-59-39
29;i13;Inverted walker;3.0;1.0;1.757999897;0.259000062943;60.0;2017-01-27-08-59-39
30;i13;Inverted walker;3.0;1.0;2.08299994469;0.117000102997;60.0;2017-01-27-08-59-39
31;i13;Inverted walker;3.0;-1.0;2.382999897;57.6180000305;60.0;2017-01-27-08-59-39
32;i13;Scrambled moving;4.0;-1.0;6.882999897;13.2250001431;60.0;2017-01-27-08-59-39
