;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;n11;Inverted walker;0.0;1.0;12.1429998875;2.00200009346;60.0;2015-10-13-14-29-44
1;n11;Inverted walker;0.0;-1.0;14.1449999809;1.4509999752;60.0;2015-10-13-14-29-44
2;n11;Inverted walker;0.0;1.0;15.5959999561;1.56799983978;60.0;2015-10-13-14-29-44
3;n11;Inverted walker;0.0;-1.0;17.1809999943;1.90199995041;60.0;2015-10-13-14-29-44
4;n11;Inverted walker;0.0;1.0;19.632999897;0.568000078201;60.0;2015-10-13-14-29-44
5;n11;Inverted walker;0.0;1.0;24.0039999485;1.51699995995;60.0;2015-10-13-14-29-44
6;n11;Inverted walker;0.0;-1.0;25.5209999084;1.75200009346;60.0;2015-10-13-14-29-44
7;n11;Inverted walker;0.0;1.0;27.2730000019;0.132999897003;60.0;2015-10-13-14-29-44
8;n11;Inverted walker;0.0;-1.0;27.4059998989;0.0499999523163;60.0;2015-10-13-14-29-44
9;n11;Inverted walker;0.0;-1.0;35.012999773;1.25100016594;60.0;2015-10-13-14-29-44
10;n11;Inverted walker;0.0;1.0;36.263999939;1.85099983215;60.0;2015-10-13-14-29-44
11;n11;Inverted walker;0.0;-1.0;38.1149997711;0.78400015831;60.0;2015-10-13-14-29-44
12;n11;Inverted walker;0.0;-1.0;45.2209999561;1.40100002289;60.0;2015-10-13-14-29-44
13;n11;Inverted walker;0.0;1.0;46.621999979;1.60099983215;60.0;2015-10-13-14-29-44
14;n11;Inverted walker;0.0;-1.0;48.2229998112;1.71800017357;60.0;2015-10-13-14-29-44
15;n11;Upright walker;1.0;1.0;1.43499994278;58.5659999847;60.0;2015-10-13-14-29-44
16;n11;Upright walker;2.0;1.0;1.25200009346;58.7479999065;60.0;2015-10-13-14-29-44
17;n11;Inverted walker;3.0;1.0;2.48600006104;0.366999864578;60.0;2015-10-13-14-29-44
18;n11;Inverted walker;3.0;-1.0;2.88599991798;0.217000007629;60.0;2015-10-13-14-29-44
19;n11;Inverted walker;3.0;-1.0;22.7690000534;1.16799998283;60.0;2015-10-13-14-29-44
20;n11;Inverted walker;3.0;-1.0;25.9549999237;0.884000062943;60.0;2015-10-13-14-29-44
21;n11;Inverted walker;3.0;-1.0;27.8399999142;0.634000062943;60.0;2015-10-13-14-29-44
22;n11;Inverted walker;3.0;-1.0;29.4579999447;0.667000055313;60.0;2015-10-13-14-29-44
23;n11;Inverted walker;3.0;1.0;31.4589998722;0.651000022888;60.0;2015-10-13-14-29-44
24;n11;Inverted walker;3.0;-1.0;33.243999958;0.516999959946;60.0;2015-10-13-14-29-44
25;n11;Inverted walker;3.0;1.0;39.8169999123;1.68499994278;60.0;2015-10-13-14-29-44
26;n11;Inverted walker;3.0;-1.0;41.5179998875;1.55100011826;60.0;2015-10-13-14-29-44
27;n11;Inverted walker;3.0;1.0;43.0690000057;1.83500003815;60.0;2015-10-13-14-29-44
28;n11;Inverted walker;3.0;-1.0;44.9040000439;8.02300000191;60.0;2015-10-13-14-29-44
